sr,business_name,business_type,address,tehsil,phone,map_link
"46","New opend","Kite Flying - Seller","C77Q+23J, Nasheman-e-Iqbal Phase 2, Lahore, Pakistan, Nishter Town","Nishter Town","03234290084","https://www.google.com/maps?q=31.4127250,74.2877960"
"47","Farooq Traders","Kite Flying - Trader","Mochi Gate Bazaar, Mohalla Porbian Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03094476076","https://www.google.com/maps?q=31.5777730,74.3220350"
"48","Mughal Kite","Kite Flying - Trader","24 j Union Park Rd, Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03111457616","https://www.google.com/maps?q=31.5291739,74.3051760"
"49","Najaf Kite and Dor Traders","Kite Flying - Trader","J767+JGW, Tariq Colony, Shahdara, 54950, Pakistan, Ravi Town","Ravi Town","03355090020","https://www.google.com/maps?q=31.6116840,74.2636790"
"50","Ellahi - Baksh Enterprises","Kite Flying - Manufacturer","House No E-38/A Street no 2 Main Beluvard DHA Lahore Cantt, Lahore Cantt","Lahore Cantt","03214122535","https://www.google.com/maps?q=31.4899950,74.3771310"
"51","Imran Trader","Kite Flying - Seller","Street 7, Madina Colony, Lahore, Pakistan, Shalimar Town","Shalimar Town","03238489925","https://www.google.com/maps?q=31.4919750,74.3597490"
"52","A&U Traders","Kite Flying - Seller","H8G9+PW5, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03234723053","https://www.google.com/maps?q=31.5767500,74.3198040"
"53","Happy friend maker","Kite Flying - Seller","J8J5+FPC, Shahdara Town, Shahdara, Pakistan, Ravi Town","Ravi Town","03124503231","https://www.google.com/maps?q=31.6304760,74.3090110"
"54","Farooq Traders","Kite Flying - Manufacturer","H8GC+PPM Miyawaki, Circular Garden Park, Tung Bazar, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03094476076","https://www.google.com/maps?q=31.5768860,74.3215470"
"55","A&U Traders","Kite Flying - Manufacturer","H8G9+PW5, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03234723053","https://www.google.com/maps?q=31.5767440,74.3197970"
"56","ALNOOR KITE SHOP","Kite Flying - Seller","G7JM+GHH, Dholanwal Rd, Dholanwal Nagra Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03224348076","https://www.google.com/maps?q=31.5315740,74.2841730"
"57","Farooq Traders","Kite Flying - Seller","H8GC+MHG, Circular Rd, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03094476076","https://www.google.com/maps?q=31.5768750,74.3215340"
"58","Shani ice cream and kite sealer","Kite Flying - Seller","Jamal Colony Ext, Ahbab Colony, Lahore, Pakistan, Allama Iqbal","Allama Iqbal","03204032560","https://www.google.com/maps?q=31.4879890,74.2517920"
"59","CoreBuild Enterprises","Kite Flying - Seller","51 Circular Rd, Naulakha, Lahore, 54000, Pakistan, Lahore City","Lahore City","03229444414","https://www.google.com/maps?q=31.5794570,74.3260810"
"60","Anosh's shop","Kite Flying - Seller","89 Grand Trunk Rd, opposite PR st Andrew high school, Shahdara Town, Lahore, 54000, Pakistan, Ravi Town","Ravi Town","03060423119","https://www.google.com/maps?q=31.6264820,74.2886710"
"61","TAJ DIN STORE","Kite Flying - Seller","91/13 Grand Trunk Rd, Shahdara Town, Shahdara, Pakistan, Ravi Town","Ravi Town","03244784004","https://www.google.com/maps?q=31.6274910,74.2880460"
"62","Kites Hub","Kite Flying - Seller","GFP2+8MF Suleman Park, Paragon City, Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03222332888","https://www.google.com/maps?q=31.5367470,74.4520830"
"63","AHMER KITE HOUSE","Kite Flying - Seller","2-A Gulshan-e-Ravi, Lahore, 54000, Pakistan, Lahore City","Lahore City","03218859926","https://www.google.com/maps?q=31.5501720,74.2826650"
"64","Kite seller","Kite Flying - Seller","H9JF+76X, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03234531109","https://www.google.com/maps?q=31.5808760,74.3731730"
"65","AAA KITE'S","Kite Flying - Seller","Swami Nagar Rd, Swami Nagar Lahore, Pakistan, Shalimar Town","Shalimar Town","03424798527","https://www.google.com/maps?q=31.5789820,74.3478630"
"66","Kite seller","Kite Flying - Seller","Wali Park Rd, Tauheed Park, Lahore, Pakistan, Shalimar Town","Shalimar Town","03224484312","https://www.google.com/maps?q=31.5782450,74.3984930"
"67","Mayo brothers","Kite Flying - Seller","F85X+6JX, Ayub Rd, Ismail Nagar, Lahore, Pakistan, Model Town","Model Town","03244247577","https://www.google.com/maps?q=31.4579630,74.3491630"
"68","AZAN MOBILE","Kite Flying - Seller","HCQJ+Q37, Service Rd, Wara Sittar, Lahore, Pakistan, Wahgah Town","Wahgah Town","03224400349","https://www.google.com/maps?q=31.5893880,74.4297650"
"69","Khurram Kite","Kite Flying - Seller","Badar St, Garhi Shahu, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03217792254","https://www.google.com/maps?q=31.5606550,74.3517580"
"70","Ishfaq Associates","Kite Flying - Seller","8-E, Mansoorah society, Multan Rd, Waris Colony Karamat Colony, Lahore, Pakistan, Allama Iqbal","Allama Iqbal","03014867621","https://www.google.com/maps?q=31.4935790,74.2668080"
"71","T.Z Kites","Kite Flying - Trader","H9PC+5Q4, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03334040092","https://www.google.com/maps?q=31.5853580,74.3720200"
"72","Hadi Kite","Kite Flying - Seller","Jallo Park Access Rd, Lahore, Pakistan, Wahgah Town","Wahgah Town","03244849720","https://www.google.com/maps?q=31.5797810,74.4828380"
"73","Core build Enterprises","Kite Flying - Manufacturer","51 Circular Rd, Naulakha, Lahore, 54000, Pakistan, Lahore City","Lahore City","03229444414","https://www.google.com/maps?q=31.5794570,74.3260810"
"74","Azan","Kite Flying - Seller","Shahdara Flyover, Shahdara Town, Lahore, Pakistan, Ravi Town","Ravi Town","03248691938","https://www.google.com/maps?q=31.6167310,74.2908760"
"75","Thekadar Kite maker","Kite Flying - Manufacturer","G7VR+X4X, Usman St, Gulzaib Colony Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03211049837","https://www.google.com/maps?q=31.5450730,74.2901110"
"76","Kite- selling","Kite Flying - Seller","Lal Khoo Bazaar, Sher Galiyan Mohalla Takia Sadhu Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03224433320","https://www.google.com/maps?q=31.5786340,74.3225880"
"77","Bilu panag farous","Kite Flying - Manufacturer","G7PX+RW8, Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03004632716","https://www.google.com/maps?q=31.5369660,74.2998360"
"78","Hamza kite seller","Kite Flying - Seller","J756+HFW, Elam Din Block Shahdara Town, Lahore, Pakistan, Ravi Town","Ravi Town","03100407810","https://www.google.com/maps?q=31.6088280,74.2610600"
"79","Shan kite house","Kite Flying - Seller","St 9, Samanabad Town, Lahore, Pakistan, Lahore City","Lahore City","03214367339","https://www.google.com/maps?q=31.5257440,74.2951580"
"80","AHMER KITE HOUSE","Kite Flying - Manufacturer","2-A-GULSHAN-E-RAVI LAHORE., Lahore City","Lahore City","03218859926","https://www.google.com/maps?q=31.5501720,74.2826650"
"81","Bilal Diaper House","Kite Flying - Seller","Shamnagar Rd, Block B New Chauburji Park, Lahore, 54000, Pakistan, Lahore City","Lahore City","03444568847","https://www.google.com/maps?q=31.5545390,74.2981520"
"82","T.Z Kites","Kite Flying - Manufacturer","H9PC+5Q4, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03334040092","https://www.google.com/maps?q=31.5852550,74.3720180"
"83","JABBAR KITES","Kite Flying - Seller","47 LDA Gurumangat Rd, near SUI GAS OFFICE, Gulberg III, Lahore, Pakistan, Model Town","Model Town","03214555520","https://www.google.com/maps?q=31.5088470,74.3577130"
"84","M. Azeem Butt kite store","Kite Flying - Manufacturer","H8Q2+X39, 19 Sufian Street, Karim Park Lahore, Pakistan, Lahore City","Lahore City","03219643966","https://www.google.com/maps?q=31.5900000,74.3000000"
"85","Amanat Traders","Kite Flying - Trader","F933+H8H, Gul Colony, Lahore, 54000, Pakistan, Model Town","Model Town","03224991446","https://www.google.com/maps?q=31.4539180,74.3534300"
"86","T.Z Kites","Kite Flying - Seller","H9PC+5Q4, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03334040092","https://www.google.com/maps?q=31.5852000,74.3719980"
"87","Seeyakhan enterprise","Kite Flying - Seller","House number 11/57 jinnahroad, Krishan Nagar, Lahore, 54000, Pakistan, Lahore City","Lahore City","03350645254","https://www.google.com/maps?q=31.5648380,74.2973800"
"88","Taimoor Kite House","Kite Flying - Seller","F Block Rd, Sabzazar Block F Sabzazar Housing Scheme Phase 1 & 2 Lahore, Pakistan, Lahore City","Lahore City","03205944370","https://www.google.com/maps?q=31.5234560,74.2613960"
"89","UR Enterprises","Kite Flying - Seller","20 Multan Rd, Sabzazar Block H Sabzazar Housing Scheme Phase 1 & 2 Lahore, 54000, Pakistan, Lahore City","Lahore City","03234406531","https://www.google.com/maps?q=31.5110220,74.2726810"
"90","Taimoor Kite House","Kite Flying - Manufacturer","F Block Rd, Sabzazar Block F Sabzazar Housing Scheme Phase 1 & 2 Lahore, Pakistan, Lahore City","Lahore City","03205944370","https://www.google.com/maps?q=31.5234560,74.2613960"
"91","Zaid Kite House","Kite Flying - Seller","F Block Rd, Sabzazar Block F Sabzazar Housing Scheme Phase 1 & 2 Lahore, Pakistan, Lahore City","Lahore City","03054431720","https://www.google.com/maps?q=31.5234560,74.2613960"
"92","Bhatti Brothers","Kite Flying - Trader","Street 7, Madina Colony, Lahore, Pakistan, Shalimar Town","Shalimar Town","03414177762","https://www.google.com/maps?q=31.4919750,74.3597490"
"93","UR Enterprises","Kite Flying - Manufacturer","20 Multan Rd, Sabzazar Block H Sabzazar Housing Scheme Phase 1 & 2 Lahore, 54000, Pakistan, Lahore City","Lahore City","03234406531","https://www.google.com/maps?q=31.5110100,74.2727110"
"94","Rahmani kite","Kite Flying - Manufacturer","Main Bazar, Muft pura Gul Colony, Lahore, Pakistan, Model Town","Model Town","03236143728","https://www.google.com/maps?q=31.4514860,74.3551080"
"95","niaz mobile center","Kite Flying - Seller","Mominpura Rd, Mominpur, Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03024547445","https://www.google.com/maps?q=31.6030710,74.4143560"
"96","Meharaa Di Hatti","Kite Flying - Seller","H9JF+935, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03244565286","https://www.google.com/maps?q=31.5808663,74.3726533"
"97","A&A","Kite Flying - Seller","F834+248, Township Twp Commercial Area Lahore, 54770, Pakistan, Model Town","Model Town","03074402672","https://www.google.com/maps?q=31.4524397,74.3056199"
"98","Shah Kites","Kite Flying - Seller","H9CP+7G3, Ramgarh Lahore, Pakistan, Shalimar Town","Shalimar Town","03234575993","https://www.google.com/maps?q=31.5707100,74.3864980"
"99","KHAWAJA & CO","Kite Flying - Seller","G7MR+27V, Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03214897278","https://www.google.com/maps?q=31.5326780,74.2907670"
"100","Umer Kite House","Kite Flying - Seller","F85P+PJ2, Kot Lakhpat, Lahore, Pakistan, Model Town","Model Town","03064632662","https://www.google.com/maps?q=31.4593671,74.3361391"
"101","Meharaa Di Hatti","Kite Flying - Manufacturer","H9JF+935, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03244565286","https://www.google.com/maps?q=31.5808663,74.3726533"
"102","Mughal kite house","Kite Flying - Seller","F82X+23M, Kacha Jail Rd, Quaid e Millat Colony, Lahore, Pakistan, Nishter Town","Nishter Town","03084432205","https://www.google.com/maps?q=31.4500750,74.3477780"
"103","Fahad Mobile and Computer Accesories","Kite Flying - Seller","H9JM+8R Lahore, Pakistan, Shalimar Town","Shalimar Town","03124968204","https://www.google.com/maps?q=31.5807520,74.3845742"
"104","WEALTHA","Kite Flying - Seller","F967+P6Q, Javed Colony Gul Colony, Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03064737540","https://www.google.com/maps?q=31.4619260,74.3631460"
"105","Khan brothers","Kite Flying - Seller","H8CF+8M2, Main Bazaar, Gawalmandi, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03074791767","https://www.google.com/maps?q=31.5708020,74.3240680"
"106","Kite making","Kite Flying - Manufacturer","3, Township Block 3 Sector B 2 Lahore, Pakistan, Model Town","Model Town","03004479136","https://www.google.com/maps?q=31.4529090,74.3073090"
"107","Liaqat ali kits","Kite Flying - Seller","H986+M7R, Mughalpura, Lahore, 54840, Pakistan, Shalimar Town","Shalimar Town","03244942044","https://www.google.com/maps?q=31.5664150,74.3594900"
"108","Garment","Kite Flying - Seller","J93J+GJC, Alia Town Rd, Mehmood Booti, Lahore, Pakistan, Shalimar Town","Shalimar Town","03234769518","https://www.google.com/maps?q=31.6036800,74.3816880"
"109","Kite saleer","Kite Flying - Seller","Akram Rd, Faiz Bagh Misri Shah, Lahore, Pakistan, Lahore City","Lahore City","03224600490","https://www.google.com/maps?q=31.5829050,74.3387310"
"110","SOURCEFIXX","Kite Flying - Trader","F849+7GW, Sector A1 Sector A 1 Lahore, Pakistan, Model Town","Model Town","03095378797","https://www.google.com/maps?q=31.4558780,74.3187670"
"111","Garmat","Kite Flying - Seller","H9HX+6WP, Street No. 5, Mehar Fiaz Colony Bb, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03235565220","https://www.google.com/maps?q=31.5780250,74.3997270"
"112","Moazzam Stationery and Gift Center","Kite Flying - Seller","Shoukat Twon, Butt chowk , Ghazi Road Lahore, Lahore Cantonment, Lahore Cantt","Lahore Cantt","03020483651","https://www.google.com/maps?q=31.4604130,74.3585780"
"113","Ihtisham kite","Kite Flying - Seller","H96G+7JC, Canal Rd, Kumharpura, Lahore, 54840, Pakistan, Lahore Cantt","Lahore Cantt","03218869045","https://www.google.com/maps?q=31.5606710,74.3758970"
"114","S&S traders","Kite Flying - Seller","G7PQ+W5P, Abu-Buker St, Sodiwal Sodhiwal, Lahore, 54000, Pakistan, Allama Iqbal","Allama Iqbal","03266556677","https://www.google.com/maps?q=31.5374460,74.2879860"
"115","ABDULLAH TRADERS","Kite Flying - Seller","H9JF+H4Q, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03000857374","https://www.google.com/maps?q=31.5814420,74.3729950"
"116","USTAD BILLA","Kite Flying - Manufacturer","H93X+8X7, Main Bazar Nizamabad, Ghaziabad, Lahore, Pakistan, Shalimar Town","Shalimar Town","03285181764","https://www.google.com/maps?q=31.5531730,74.3999210"
"117","Chishti store","Kite Flying - Seller","109 Haq Nawaz Rd, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03224210200","https://www.google.com/maps?q=31.5832230,74.3767530"
"118","Excel","Kite Flying - Seller","Shop 14, Noor Chambers, Bengali street, Ganpat Rd, Anarkali Bazaar Lahore, 54000, Pakistan, Lahore City","Lahore City","03219555510","https://www.google.com/maps?q=31.5757150,74.3120550"
"119","Super Kite House","Kite Flying - Seller","893, Block M Phase 2 Johar Town, Lahore, Pakistan, Allama Iqbal","Allama Iqbal","03034853527","https://www.google.com/maps?q=31.4697000,74.2728000"
"120","Adil Store","Kite Flying - Seller","Nishat Colony Main Rd, Nishat Colony, Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03034142440, 03227541975","https://www.google.com/maps?q=31.4946680,74.3912520"
"121","Ehsan kite maker","Kite Flying - Manufacturer","H9X5+JVG, China Scheme, Lahore, Pakistan, Shalimar Town","Shalimar Town","03204997201","https://www.google.com/maps?q=31.5990530,74.3596960"
"122","Al Janat General store","Kite Flying - Seller","Main Bazar, Muft pura Gul Colony, Lahore, Pakistan, Model Town","Model Town","03134811144","https://www.google.com/maps?q=31.4514860,74.3551080"
"123","HZ kite shop","Kite Flying - Seller","C9V5+FRV, Main Bazar, Amer Sidhu Gulshan Yaseen Colony, Lahore, Pakistan, Model Town","Model Town","03066777878","https://www.google.com/maps?q=31.4437510,74.3595300"
"124","Super kite maker","Kite Flying - Manufacturer","443 H2 Johar Town Lahore, Allama Iqbal","Allama Iqbal","03228852407","https://www.google.com/maps?q=31.4763660,74.2820250"
"125","Buttkite house","Kite Flying - Manufacturer","500c Shadbagh Rd, Shad Bagh, Lahore, Pakistan, Ravi Town","Ravi Town","03067442018","https://www.google.com/maps?q=31.5940680,74.3382790"
"126","Silk kite","Kite Flying - Seller","Model Town Link Rd, Phase 3 GECH Society, Lahore, Pakistan, Model Town","Model Town","03244466557","https://www.google.com/maps?q=31.4657670,74.3157250"
"127","T&T kites","Kite Flying - Trader","8 Walton Rd, Super Town, Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03214207675","https://www.google.com/maps?q=31.4936540,74.3736210"
"128","Guddi Dor","Kite Flying - Seller","Sanda Rd, Islampura, Lahore, 54000, Pakistan, Lahore City","Lahore City","03054402940","https://www.google.com/maps?q=31.5618470,74.3005740"
"129","Umar","Kite Flying - Manufacturer","Wahdat E Ave, Wahdat Colony, Lahore, 54000, Pakistan, Allama Iqbal","Allama Iqbal","03219439168","https://www.google.com/maps?q=31.5162250,74.3136640"
"130","The Sky Riders","Kite Flying - Seller","74a Alhamd Rd, Al-Hamad Colony Combo Colony, Lahore, 54000, Pakistan, Model Town","Model Town","03225204676","https://www.google.com/maps?q=31.5230600,74.3046380"
"131","Arman kite house","Kite Flying - Seller","9979+RF5, Shahzada Rd, Kahna Nau, Kahna, Pakistan, Nishter Town","Nishter Town","03047516739","https://www.google.com/maps?q=31.3647880,74.3688640"
"132","Kite","Kite Flying - Seller","Shahdara Flyover, Shahdara Town, Lahore, Pakistan, Ravi Town","Ravi Town","03344047717","https://www.google.com/maps?q=31.6167310,74.2908760"
"133","Office Automation Service Group ,Shahzad Hashmi computer composing center","Kite Flying - Seller","Shahdara Flyover, Shahdara Town, Shahdara, Pakistan, Ravi Town","Ravi Town","03089288008","https://www.google.com/maps?q=31.6167310,74.2908760"
"134","Sadiq sports","Kite Flying - Seller","Main China Rd, near wapda wali gali, Bhagatpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03008821840","https://www.google.com/maps?q=31.5963350,74.3566740"
