sr,business_name,business_type,address,tehsil,phone,map_link
18,B.S kite's,Kite Flying - Trader,"10 Fane Rd, Mozang Chungi, Lahore, 54000, Pakistan, Lahore City",Lahore City,3222224002,"https://www.google.com/maps?q=31.5610570,74.3145260"
19,BZ Kites & Strings,Kite Flying - Seller,"H8M5+GCM, Kucha Faqirkhana Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3364441005,"https://www.google.com/maps?q=31.5840690,74.3085780"
20,JUNIOISKIDS store,Kite Flying - Seller,"H9MF+7C5, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3201045799,"https://www.google.com/maps?q=31.5831860,74.3737150"
21,Nexa kite,Kite Flying - Manufacturer,"G7PX+RW8, Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3244649466,"https://www.google.com/maps?q=31.5370260,74.2995670"
22,Rana Enterprises,Kite Flying - Manufacturer,"Band Rd, Shera Kot Lahore, 54000, Pakistan, Lahore City",Lahore City,3224876414,"https://www.google.com/maps?q=31.5441600,74.2667850"
23,Mk company,Kite Flying - Trader,"China Rd, Bhagatpura, Lahore, Pakistan, Shalimar Town",Shalimar Town,3078672937,"https://www.google.com/maps?q=31.6012020,74.3581290"
24,FM Kite Club,Kite Flying - Seller,"H9XW+5M7, Dilshad St, Bhagwal Nawan Mehmood Booti, Lahore, Pakistan, Shalimar Town",Shalimar Town,3084388582,"https://www.google.com/maps?q=31.5980590,74.3962850"
25,Ali kites Dealor,Kite Flying - Seller,"Thokar Niaz Baig Flyover, Irrigation Colony, Lahore, Pakistan, Allama Iqbal",Allama Iqbal,3228741187,"https://www.google.com/maps?q=31.4721270,74.2450290"
26,Safe Kite Manufacturer,Kite Flying - Trader,"Street 7, Madina Colony, Lahore, Pakistan, Shalimar Town",Shalimar Town,3284985929,"https://www.google.com/maps?q=31.4919750,74.3597490"
27,sajeel kites,Kite Flying - Trader,"C6WJ+C5, Sheikh Zayed Palace Shiekh Zayed Palace, Lahore, Pakistan, Allama Iqbal",Allama Iqbal,3283999938,"https://www.google.com/maps?q=31.4460130,74.2304090"
28,A&U Traders,Kite Flying - Trader,"H8G9+PW5, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3234723053,"https://www.google.com/maps?q=31.5767450,74.3198010"
29,Butt kite door point,Kite Flying - Seller,"Main Bazar Siddiqia Colony, Siddiqia Colony Badami Bagh, Lahore, Pakistan, Ravi Town",Ravi Town,3174646003,"https://www.google.com/maps?q=31.6037550,74.3298140"
30,Paint manufacturer,Kite Flying - Seller,"Salamat Pura Rd, Fatehgarh, Lahore, Pakistan, Shalimar Town",Shalimar Town,3238454363,"https://www.google.com/maps?q=31.5724840,74.4102370"
31,Hs textile,Kite Flying - Manufacturer,"Kot Khawaja Saeed Rd, Bhogiwal Kot Khawaja Saeed, Lahore, Pakistan, Shalimar Town",Shalimar Town,3224016444,"https://www.google.com/maps?q=31.5863790,74.3566550"
32,Hafiz Kite's,Kite Flying - Seller,"F9VR+RGJ, Nishat Colony Main Rd, Nishat Colony Lahore, Pakistan, Lahore Cantt",Lahore Cantt,3454225769,"https://www.google.com/maps?q=31.4946680,74.3912520"
33,Azeem Butt kite store,Kite Flying - Seller,"H8Q2+X39, 19 Sufian Street, Karim Park Lahore, Pakistan, Lahore City",Lahore City,3219643966,"https://www.google.com/maps?q=31.5900000,74.3000000"
34,Lahore Kite House,Kite Flying - Seller,"Plot 249 C, Maraghzar Colony Block H Marghzar Housing Scheme, Lahore, Pakistan, Allama Iqbal",Allama Iqbal,3344007202,"https://www.google.com/maps?q=31.5000330,74.2446170"
35,S&Co. International,Kite Flying - Seller,"F7FX+264, Bhalla Rd, Block E Phase 1 BOR Society, Lahore, Pakistan, Model Town",Model Town,3318432021,"https://www.google.com/maps?q=31.4726530,74.2981500"
36,K.K international,Kite Flying - Trader,"Chowk Shah Alam, H8F8+GRG, Baans Bazar, Anarkali Bazaar Lahore, 54000, Pakistan, Lahore City",Lahore City,3214153111,"https://www.google.com/maps?q=31.5736730,74.3171150"
37,Butt foods,Kite Flying - Manufacturer,"H9JX+PJ Lahore, Pakistan, Shalimar Town",Shalimar Town,3004300236,"https://www.google.com/maps?q=31.5818110,74.3990250"
38,Shakeel kaite,Kite Flying - Seller,"54-A2 Street Number 69, Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3214191124,"https://www.google.com/maps?q=31.5327620,74.2925070"
39,Ali Enterprises,Kite Flying - Seller,"J767+QGM, Mian Rd, Shahdara Town, Lahore, Pakistan, Ravi Town",Ravi Town,3355821567,"https://www.google.com/maps?q=31.6117820,74.2637460"
40,Malik Traders Raiwind,Kite Flying - Seller,"Malik Traders Raiwind Abdullah Gee Road, Raiwind",Raiwind,3104038780,"https://www.google.com/maps?q=31.5180830,74.3607380"
41,MH Enterprises,Kite Flying - Seller,"F955+HPH, Shoukat Town Gul Colony, Lahore, Pakistan, Model Town",Model Town,3214007676,"https://www.google.com/maps?q=31.4589150,74.3593420"
42,BZ Kites & Strings,Kite Flying - Manufacturer,"H8M5+GCM, Kucha Faqirkhana Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3364441005,"https://www.google.com/maps?q=31.5840690,74.3085780"
43,KHAWAJA & CO,Kite Flying - Manufacturer,"G7MR+26H, Zubaida Park Street 1, Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3214897278,"https://www.google.com/maps?q=31.5324670,74.2906620"
44,Hadi Kite,Kite Flying - Manufacturer,"HFHM+W48, Jallo Park Access Rd, Phase 4 Al Rehman Garden, Lahore, Pakistan, Wahgah Town",Wahgah Town,3244849720,"https://www.google.com/maps?q=31.5797810,74.4828380"
45,New opend,Kite Flying - Seller,"C77Q+23J, Nasheman-e-Iqbal Phase 2, Lahore, Pakistan, Nishter Town",Nishter Town,3234290084,"https://www.google.com/maps?q=31.4127250,74.2877960"
46,Farooq Traders,Kite Flying - Trader,"Mochi Gate Bazaar, Mohalla Porbian Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3094476076,"https://www.google.com/maps?q=31.5777730,74.3220350"
47,Mughal Kite,Kite Flying - Trader,"24 j Union Park Rd, Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3111457616,"https://www.google.com/maps?q=31.5291739,74.3051760"
48,Najaf Kite and Dor Traders,Kite Flying - Trader,"J767+JGW, Tariq Colony, Shahdara, 54950, Pakistan, Ravi Town",Ravi Town,3355090020,"https://www.google.com/maps?q=31.6116840,74.2636790"
49,Ellahi - Baksh Enterprises,Kite Flying - Manufacturer,"House No E-38/A Street no 2 Main Beluvard DHA Lahore Cantt, Lahore Cantt",Lahore Cantt,3214122535,"https://www.google.com/maps?q=31.4899950,74.3771310"
50,Imran Trader,Kite Flying - Seller,"Street 7, Madina Colony, Lahore, Pakistan, Shalimar Town",Shalimar Town,3238489925,"https://www.google.com/maps?q=31.4919750,74.3597490"
51,A&U Traders,Kite Flying - Seller,"H8G9+PW5, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3234723053,"https://www.google.com/maps?q=31.5767500,74.3198040"
52,Happy friend maker,Kite Flying - Seller,"J8J5+FPC, Shahdara Town, Shahdara, Pakistan, Ravi Town",Ravi Town,3124503231,"https://www.google.com/maps?q=31.6304760,74.3090110"
53,Farooq Traders,Kite Flying - Manufacturer,"H8GC+PPM Miyawaki, Circular Garden Park, Tung Bazar, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3094476076,"https://www.google.com/maps?q=31.5768860,74.3215470"
54,A&U Traders,Kite Flying - Manufacturer,"H8G9+PW5, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3234723053,"https://www.google.com/maps?q=31.5767440,74.3197970"
55,ALNOOR KITE SHOP,Kite Flying - Seller,"G7JM+GHH, Dholanwal Rd, Dholanwal Nagra Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3224348076,"https://www.google.com/maps?q=31.5315740,74.2841730"
56,Farooq Traders,Kite Flying - Seller,"H8GC+MHG, Circular Rd, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3094476076,"https://www.google.com/maps?q=31.5768750,74.3215340"
57,Shani ice cream and kite sealer,Kite Flying - Seller,"Jamal Colony Ext, Ahbab Colony, Lahore, Pakistan, Allama Iqbal",Allama Iqbal,3204032560,"https://www.google.com/maps?q=31.4879890,74.2517920"
58,CoreBuild Enterprises,Kite Flying - Seller,"51 Circular Rd, Naulakha, Lahore, 54000, Pakistan, Lahore City",Lahore City,3229444414,"https://www.google.com/maps?q=31.5794570,74.3260810"
59,Anosh's shop,Kite Flying - Seller,"89 Grand Trunk Rd, opposite PR st Andrew high school, Shahdara Town, Lahore, 54000, Pakistan, Ravi Town",Ravi Town,3060423119,"https://www.google.com/maps?q=31.6264820,74.2886710"
60,TAJ DIN STORE,Kite Flying - Seller,"91/13 Grand Trunk Rd, Shahdara Town, Shahdara, Pakistan, Ravi Town",Ravi Town,3244784004,"https://www.google.com/maps?q=31.6274910,74.2880460"
61,Kites Hub,Kite Flying - Seller,"GFP2+8MF Suleman Park, Paragon City, Lahore, Pakistan, Lahore Cantt",Lahore Cantt,3222332888,"https://www.google.com/maps?q=31.5367470,74.4520830"
62,AHMER KITE HOUSE,Kite Flying - Seller,"2-A Gulshan-e-Ravi, Lahore, 54000, Pakistan, Lahore City",Lahore City,3218859926,"https://www.google.com/maps?q=31.5501720,74.2826650"
63,Kite seller,Kite Flying - Seller,"H9JF+76X, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3234531109,"https://www.google.com/maps?q=31.5808760,74.3731730"
64,AAA KITE'S,Kite Flying - Seller,"Swami Nagar Rd, Swami Nagar Lahore, Pakistan, Shalimar Town",Shalimar Town,3424798527,"https://www.google.com/maps?q=31.5789820,74.3478630"
65,Kite seller,Kite Flying - Seller,"Wali Park Rd, Tauheed Park, Lahore, Pakistan, Shalimar Town",Shalimar Town,3224484312,"https://www.google.com/maps?q=31.5782450,74.3984930"
66,Mayo brothers,Kite Flying - Seller,"F85X+6JX, Ayub Rd, Ismail Nagar, Lahore, Pakistan, Model Town",Model Town,3244247577,"https://www.google.com/maps?q=31.4579630,74.3491630"
67,AZAN MOBILE,Kite Flying - Seller,"HCQJ+Q37, Service Rd, Wara Sittar, Lahore, Pakistan, Wahgah Town",Wahgah Town,3224400349,"https://www.google.com/maps?q=31.5893880,74.4297650"
68,Khurram Kite,Kite Flying - Seller,"Badar St, Garhi Shahu, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3217792254,"https://www.google.com/maps?q=31.5606550,74.3517580"
69,Ishfaq Associates,Kite Flying - Seller,"8-E, Mansoorah society, Multan Rd, Waris Colony Karamat Colony, Lahore, Pakistan, Allama Iqbal",Allama Iqbal,3014867621,"https://www.google.com/maps?q=31.4935790,74.2668080"
70,T.Z Kites,Kite Flying - Trader,"H9PC+5Q4, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3334040092,"https://www.google.com/maps?q=31.5853580,74.3720200"
71,Hadi Kite,Kite Flying - Seller,"Jallo Park Access Rd, Lahore, Pakistan, Wahgah Town",Wahgah Town,3244849720,"https://www.google.com/maps?q=31.5797810,74.4828380"
72,Core build Enterprises,Kite Flying - Manufacturer,"51 Circular Rd, Naulakha, Lahore, 54000, Pakistan, Lahore City",Lahore City,3229444414,"https://www.google.com/maps?q=31.5794570,74.3260810"
73,Azan,Kite Flying - Seller,"Shahdara Flyover, Shahdara Town, Lahore, Pakistan, Ravi Town",Ravi Town,3248691938,"https://www.google.com/maps?q=31.6167310,74.2908760"
74,Thekadar Kite maker,Kite Flying - Manufacturer,"G7VR+X4X, Usman St, Gulzaib Colony Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3211049837,"https://www.google.com/maps?q=31.5450730,74.2901110"
75,Kite- selling,Kite Flying - Seller,"Lal Khoo Bazaar, Sher Galiyan Mohalla Takia Sadhu Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City",Lahore City,3224433320,"https://www.google.com/maps?q=31.5786340,74.3225880"
76,Bilu panag farous,Kite Flying - Manufacturer,"G7PX+RW8, Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3004632716,"https://www.google.com/maps?q=31.5369660,74.2998360"
77,Hamza kite seller,Kite Flying - Seller,"J756+HFW, Elam Din Block Shahdara Town, Lahore, Pakistan, Ravi Town",Ravi Town,3100407810,"https://www.google.com/maps?q=31.6088280,74.2610600"
78,Shan kite house,Kite Flying - Seller,"St 9, Samanabad Town, Lahore, Pakistan, Lahore City",Lahore City,3214367339,"https://www.google.com/maps?q=31.5257440,74.2951580"
79,AHMER KITE HOUSE,Kite Flying - Manufacturer,"2-A-GULSHAN-E-RAVI LAHORE., Lahore City",Lahore City,3218859926,"https://www.google.com/maps?q=31.5501720,74.2826650"
80,Bilal Diaper House,Kite Flying - Seller,"Shamnagar Rd, Block B New Chauburji Park, Lahore, 54000, Pakistan, Lahore City",Lahore City,3444568847,"https://www.google.com/maps?q=31.5545390,74.2981520"
81,T.Z Kites,Kite Flying - Manufacturer,"H9PC+5Q4, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3334040092,"https://www.google.com/maps?q=31.5852550,74.3720180"
82,JABBAR KITES,Kite Flying - Seller,"47 LDA Gurumangat Rd, near SUI GAS OFFICE, Gulberg III, Lahore, Pakistan, Model Town",Model Town,3214555520,"https://www.google.com/maps?q=31.5088470,74.3577130"
83,M. Azeem Butt kite store,Kite Flying - Manufacturer,"H8Q2+X39, 19 Sufian Street, Karim Park Lahore, Pakistan, Lahore City",Lahore City,3219643966,"https://www.google.com/maps?q=31.5900000,74.3000000"
84,Amanat Traders,Kite Flying - Trader,"F933+H8H, Gul Colony, Lahore, 54000, Pakistan, Model Town",Model Town,3224991446,"https://www.google.com/maps?q=31.4539180,74.3534300"
85,T.Z Kites,Kite Flying - Seller,"H9PC+5Q4, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3334040092,"https://www.google.com/maps?q=31.5852000,74.3719980"
86,Seeyakhan enterprise,Kite Flying - Seller,"House number 11/57 jinnahroad, Krishan Nagar, Lahore, 54000, Pakistan, Lahore City",Lahore City,3350645254,"https://www.google.com/maps?q=31.5648380,74.2973800"
87,Taimoor Kite House,Kite Flying - Seller,"F Block Rd, Sabzazar Block F Sabzazar Housing Scheme Phase 1 & 2 Lahore, Pakistan, Lahore City",Lahore City,3205944370,"https://www.google.com/maps?q=31.5234560,74.2613960"
88,UR Enterprises,Kite Flying - Seller,"20 Multan Rd, Sabzazar Block H Sabzazar Housing Scheme Phase 1 & 2 Lahore, 54000, Pakistan, Lahore City",Lahore City,3234406531,"https://www.google.com/maps?q=31.5110220,74.2726810"
89,Taimoor Kite House,Kite Flying - Manufacturer,"F Block Rd, Sabzazar Block F Sabzazar Housing Scheme Phase 1 & 2 Lahore, Pakistan, Lahore City",Lahore City,3205944370,"https://www.google.com/maps?q=31.5234560,74.2613960"
90,Zaid Kite House,Kite Flying - Seller,"F Block Rd, Sabzazar Block F Sabzazar Housing Scheme Phase 1 & 2 Lahore, Pakistan, Lahore City",Lahore City,3054431720,"https://www.google.com/maps?q=31.5234560,74.2613960"
91,Bhatti Brothers,Kite Flying - Trader,"Street 7, Madina Colony, Lahore, Pakistan, Shalimar Town",Shalimar Town,3414177762,"https://www.google.com/maps?q=31.4919750,74.3597490"
92,UR Enterprises,Kite Flying - Manufacturer,"20 Multan Rd, Sabzazar Block H Sabzazar Housing Scheme Phase 1 & 2 Lahore, 54000, Pakistan, Lahore City",Lahore City,3234406531,"https://www.google.com/maps?q=31.5110100,74.2727110"
93,Rahmani kite,Kite Flying - Manufacturer,"Main Bazar, Muft pura Gul Colony, Lahore, Pakistan, Model Town",Model Town,3236143728,"https://www.google.com/maps?q=31.4514860,74.3551080"
94,niaz mobile center,Kite Flying - Seller,"Mominpura Rd, Mominpur, Lahore, Pakistan, Lahore Cantt",Lahore Cantt,3024547445,"https://www.google.com/maps?q=31.6030710,74.4143560"
95,Meharaa Di Hatti,Kite Flying - Seller,"H9JF+935, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3244565286,"https://www.google.com/maps?q=31.5808663,74.3726533"
96,A&A,Kite Flying - Seller,"F834+248, Township Twp Commercial Area Lahore, 54770, Pakistan, Model Town",Model Town,3074402672,"https://www.google.com/maps?q=31.4524397,74.3056199"
97,Shah Kites,Kite Flying - Seller,"H9CP+7G3, Ramgarh Lahore, Pakistan, Shalimar Town",Shalimar Town,3234575993,"https://www.google.com/maps?q=31.5707100,74.3864980"
98,KHAWAJA & CO,Kite Flying - Seller,"G7MR+27V, Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3214897278,"https://www.google.com/maps?q=31.5326780,74.2907670"
99,Umer Kite House,Kite Flying - Seller,"F85P+PJ2, Kot Lakhpat, Lahore, Pakistan, Model Town",Model Town,3064632662,"https://www.google.com/maps?q=31.4593671,74.3361391"
100,Meharaa Di Hatti,Kite Flying - Manufacturer,"H9JF+935, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3244565286,"https://www.google.com/maps?q=31.5808663,74.3726533"
101,Mughal kite house,Kite Flying - Seller,"F82X+23M, Kacha Jail Rd, Quaid e Millat Colony, Lahore, Pakistan, Nishter Town",Nishter Town,3084432205,"https://www.google.com/maps?q=31.4500750,74.3477780"
102,Fahad Mobile and Computer Accesories,Kite Flying - Seller,"H9JM+8R Lahore, Pakistan, Shalimar Town",Shalimar Town,3124968204,"https://www.google.com/maps?q=31.5807520,74.3845742"
103,WEALTHA,Kite Flying - Seller,"F967+P6Q, Javed Colony Gul Colony, Lahore, Pakistan, Lahore Cantt",Lahore Cantt,3064737540,"https://www.google.com/maps?q=31.4619260,74.3631460"
104,Khan brothers,Kite Flying - Seller,"H8CF+8M2, Main Bazaar, Gawalmandi, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3074791767,"https://www.google.com/maps?q=31.5708020,74.3240680"
105,Kite making,Kite Flying - Manufacturer,"3, Township Block 3 Sector B 2 Lahore, Pakistan, Model Town",Model Town,3004479136,"https://www.google.com/maps?q=31.4529090,74.3073090"
106,Liaqat ali kits,Kite Flying - Seller,"H986+M7R, Mughalpura, Lahore, 54840, Pakistan, Shalimar Town",Shalimar Town,3244942044,"https://www.google.com/maps?q=31.5664150,74.3594900"
107,Garment,Kite Flying - Seller,"J93J+GJC, Alia Town Rd, Mehmood Booti, Lahore, Pakistan, Shalimar Town",Shalimar Town,3234769518,"https://www.google.com/maps?q=31.6036800,74.3816880"
108,Kite saleer,Kite Flying - Seller,"Akram Rd, Faiz Bagh Misri Shah, Lahore, Pakistan, Lahore City",Lahore City,3224600490,"https://www.google.com/maps?q=31.5829050,74.3387310"
109,SOURCEFIXX,Kite Flying - Trader,"F849+7GW, Sector A1 Sector A 1 Lahore, Pakistan, Model Town",Model Town,3095378797,"https://www.google.com/maps?q=31.4558780,74.3187670"
110,Garmat,Kite Flying - Seller,"H9HX+6WP, Street No. 5, Mehar Fiaz Colony Bb, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3235565220,"https://www.google.com/maps?q=31.5780250,74.3997270"
111,Moazzam Stationery and Gift Center,Kite Flying - Seller,"Shoukat Twon, Butt chowk , Ghazi Road Lahore, Lahore Cantonment, Lahore Cantt",Lahore Cantt,3020483651,"https://www.google.com/maps?q=31.4604130,74.3585780"
112,Ihtisham kite,Kite Flying - Seller,"H96G+7JC, Canal Rd, Kumharpura, Lahore, 54840, Pakistan, Lahore Cantt",Lahore Cantt,3218869045,"https://www.google.com/maps?q=31.5606710,74.3758970"
113,S&S traders,Kite Flying - Seller,"G7PQ+W5P, Abu-Buker St, Sodiwal Sodhiwal, Lahore, 54000, Pakistan, Allama Iqbal",Allama Iqbal,3266556677,"https://www.google.com/maps?q=31.5374460,74.2879860"
114,ABDULLAH TRADERS,Kite Flying - Seller,"H9JF+H4Q, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3000857374,"https://www.google.com/maps?q=31.5814420,74.3729950"
115,USTAD BILLA,Kite Flying - Manufacturer,"H93X+8X7, Main Bazar Nizamabad, Ghaziabad, Lahore, Pakistan, Shalimar Town",Shalimar Town,3285181764,"https://www.google.com/maps?q=31.5531730,74.3999210"
116,Chishti store,Kite Flying - Seller,"109 Haq Nawaz Rd, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3224210200,"https://www.google.com/maps?q=31.5832230,74.3767530"
117,Excel,Kite Flying - Seller,"Shop 14, Noor Chambers, Bengali street, Ganpat Rd, Anarkali Bazaar Lahore, 54000, Pakistan, Lahore City",Lahore City,3219555510,"https://www.google.com/maps?q=31.5757150,74.3120550"
118,Super Kite House,Kite Flying - Seller,"893, Block M Phase 2 Johar Town, Lahore, Pakistan, Allama Iqbal",Allama Iqbal,3034853527,"https://www.google.com/maps?q=31.4697000,74.2728000"
119,Adil Store,Kite Flying - Seller,"Nishat Colony Main Rd, Nishat Colony, Lahore, Pakistan, Lahore Cantt",Lahore Cantt,"03034142440, 03227541975","https://www.google.com/maps?q=31.4946680,74.3912520"
120,Ehsan kite maker,Kite Flying - Manufacturer,"H9X5+JVG, China Scheme, Lahore, Pakistan, Shalimar Town",Shalimar Town,3204997201,"https://www.google.com/maps?q=31.5990530,74.3596960"
121,Al Janat General store,Kite Flying - Seller,"Main Bazar, Muft pura Gul Colony, Lahore, Pakistan, Model Town",Model Town,3134811144,"https://www.google.com/maps?q=31.4514860,74.3551080"
122,HZ kite shop,Kite Flying - Seller,"C9V5+FRV, Main Bazar, Amer Sidhu Gulshan Yaseen Colony, Lahore, Pakistan, Model Town",Model Town,3066777878,"https://www.google.com/maps?q=31.4437510,74.3595300"
123,Super kite maker,Kite Flying - Manufacturer,"443 H2 Johar Town Lahore, Allama Iqbal",Allama Iqbal,3228852407,"https://www.google.com/maps?q=31.4763660,74.2820250"
124,Buttkite house,Kite Flying - Manufacturer,"500c Shadbagh Rd, Shad Bagh, Lahore, Pakistan, Ravi Town",Ravi Town,3067442018,"https://www.google.com/maps?q=31.5940680,74.3382790"
125,Silk kite,Kite Flying - Seller,"Model Town Link Rd, Phase 3 GECH Society, Lahore, Pakistan, Model Town",Model Town,3244466557,"https://www.google.com/maps?q=31.4657670,74.3157250"
126,T&T kites,Kite Flying - Trader,"8 Walton Rd, Super Town, Lahore, Pakistan, Lahore Cantt",Lahore Cantt,3214207675,"https://www.google.com/maps?q=31.4936540,74.3736210"
127,Guddi Dor,Kite Flying - Seller,"Sanda Rd, Islampura, Lahore, 54000, Pakistan, Lahore City",Lahore City,3054402940,"https://www.google.com/maps?q=31.5618470,74.3005740"
128,Umar,Kite Flying - Manufacturer,"Wahdat E Ave, Wahdat Colony, Lahore, 54000, Pakistan, Allama Iqbal",Allama Iqbal,3219439168,"https://www.google.com/maps?q=31.5162250,74.3136640"
129,The Sky Riders,Kite Flying - Seller,"74a Alhamd Rd, Al-Hamad Colony Combo Colony, Lahore, 54000, Pakistan, Model Town",Model Town,3225204676,"https://www.google.com/maps?q=31.5230600,74.3046380"
130,Arman kite house,Kite Flying - Seller,"9979+RF5, Shahzada Rd, Kahna Nau, Kahna, Pakistan, Nishter Town",Nishter Town,3047516739,"https://www.google.com/maps?q=31.3647880,74.3688640"
131,Kite,Kite Flying - Seller,"Shahdara Flyover, Shahdara Town, Lahore, Pakistan, Ravi Town",Ravi Town,3344047717,"https://www.google.com/maps?q=31.6167310,74.2908760"
132,"Office Automation Service Group ,Shahzad Hashmi computer composing center",Kite Flying - Seller,"Shahdara Flyover, Shahdara Town, Shahdara, Pakistan, Ravi Town",Ravi Town,3089288008,"https://www.google.com/maps?q=31.6167310,74.2908760"
133,Sadiq sports,Kite Flying - Seller,"Main China Rd, near wapda wali gali, Bhagatpura, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3008821840,"https://www.google.com/maps?q=31.5963350,74.3566740"
